"analysis","level_label","level_factor","efficacy","efficacy_label","metric","median","lo95","hi95"
"hcw_exposure","+0% (fitted)",1,0.8,"80%","baseline_hcw_days_lost",34622.6819695475,7821.05601404748,81855.2496584152
"hcw_exposure","+25%",1.25,0.8,"80%","baseline_hcw_days_lost",31248.7806498394,6641.80730705159,90197.7588821667
"hcw_exposure","+50%",1.5,0.8,"80%","baseline_hcw_days_lost",26458.7933264714,4880.96250916938,75633.6373033116
"hcw_exposure","+100%",2,0.8,"80%","baseline_hcw_days_lost",22526.718820675,5907.56616596545,65522.3340209322
"hcw_exposure","+0% (fitted)",1,0.8,"80%","baseline_hcw_deaths",67.65,24.8875,154.905
"hcw_exposure","+25%",1.25,0.8,"80%","baseline_hcw_deaths",66.65,23.2875,167.2125
"hcw_exposure","+50%",1.5,0.8,"80%","baseline_hcw_deaths",61.3,16.79,129.245
"hcw_exposure","+100%",2,0.8,"80%","baseline_hcw_deaths",56.15,27.785,131.4125
"hcw_exposure","+0% (fitted)",1,0.8,"80%","hcw_days_lost_averted",27847.221762339,6427.93138809041,66234.7252357163
"hcw_exposure","+25%",1.25,0.8,"80%","hcw_days_lost_averted",25023.8624677922,5388.47392207744,72408.4921917984
"hcw_exposure","+50%",1.5,0.8,"80%","hcw_days_lost_averted",21119.0354379586,4052.50087724911,61519.712281802
"hcw_exposure","+100%",2,0.8,"80%","hcw_days_lost_averted",18037.2344128959,4827.21907363175,52810.430331764
"hcw_exposure","+0% (fitted)",1,0.8,"80%","hcw_deaths_averted",53.8,20.29,123.8025
"hcw_exposure","+25%",1.25,0.8,"80%","hcw_deaths_averted",52.85,18.685,132.0425
"hcw_exposure","+50%",1.5,0.8,"80%","hcw_deaths_averted",48.75,13.865,104.715
"hcw_exposure","+100%",2,0.8,"80%","hcw_deaths_averted",45.2,22.685,106.7025
"hcw_exposure","+0% (fitted)",1,0.8,"80%","pct_days_lost_averted",80.0753306895867,76.780914106187,82.3506866193283
"hcw_exposure","+25%",1.25,0.8,"80%","pct_days_lost_averted",79.8997041662226,77.4063714738484,82.7274747513485
"hcw_exposure","+50%",1.5,0.8,"80%","pct_days_lost_averted",79.8608034468498,76.4237063238613,82.800599949061
"hcw_exposure","+100%",2,0.8,"80%","pct_days_lost_averted",80.1369018273002,77.3348579862937,83.8707411569227
"hcw_exposure","+0% (fitted)",1,0.8,"80%","pct_hcw_deaths_averted",80.2624561437076,76.2630225286387,83.5682869887856
"hcw_exposure","+25%",1.25,0.8,"80%","pct_hcw_deaths_averted",79.7039865336453,76.6375086505191,83.5732209240574
"hcw_exposure","+50%",1.5,0.8,"80%","pct_hcw_deaths_averted",79.91002475331,75.9785850632307,83.9595524956971
"hcw_exposure","+100%",2,0.8,"80%","pct_hcw_deaths_averted",80.0259067357513,76.813921832884,84.1823787774399
"hcw_exposure","+0% (fitted)",1,0.8,"80%","pep_hcw_deaths",13.8,4.5,30.025
"hcw_exposure","+25%",1.25,0.8,"80%","pep_hcw_deaths",13.2,4.1925,31.745
"hcw_exposure","+50%",1.5,0.8,"80%","pep_hcw_deaths",12.2,3.8,26.3075
"hcw_exposure","+100%",2,0.8,"80%","pep_hcw_deaths",10.95,4.8,25.3075
"transmissibility","+0% (fitted)",1,0.8,"80%","baseline_hcw_days_lost",34622.6819695475,7821.05601404748,81855.2496584152
"transmissibility","+10%",1.1,0.8,"80%","baseline_hcw_days_lost",61387.8856437878,41455.9080578272,112269.992983964
"transmissibility","+20%",1.2,0.8,"80%","baseline_hcw_days_lost",54101.8788981741,41301.3536802194,70859.4328673464
"transmissibility","+30%",1.3,0.8,"80%","baseline_hcw_days_lost",46917.1833751183,35409.403821568,68567.5324619372
"transmissibility","+0% (fitted)",1,0.8,"80%","baseline_hcw_deaths",67.65,24.8875,154.905
"transmissibility","+10%",1.1,0.8,"80%","baseline_hcw_deaths",250.35,172.725,316.3425
"transmissibility","+20%",1.2,0.8,"80%","baseline_hcw_deaths",294.7,237.525,360.715
"transmissibility","+30%",1.3,0.8,"80%","baseline_hcw_deaths",312.2,258.5375,381.445
"transmissibility","+0% (fitted)",1,0.8,"80%","hcw_days_lost_averted",27847.221762339,6427.93138809041,66234.7252357163
"transmissibility","+10%",1.1,0.8,"80%","hcw_days_lost_averted",49153.7489053059,32830.0335729286,89788.594051963
"transmissibility","+20%",1.2,0.8,"80%","hcw_days_lost_averted",43368.7637368021,32835.2341610277,56961.4783335913
"transmissibility","+30%",1.3,0.8,"80%","hcw_days_lost_averted",37464.455193719,28439.6732248673,54458.8353439588
"transmissibility","+0% (fitted)",1,0.8,"80%","hcw_deaths_averted",53.8,20.29,123.8025
"transmissibility","+10%",1.1,0.8,"80%","hcw_deaths_averted",200.55,138.8975,250.5175
"transmissibility","+20%",1.2,0.8,"80%","hcw_deaths_averted",236.45,189.97,290.42
"transmissibility","+30%",1.3,0.8,"80%","hcw_deaths_averted",248.95,205.7575,304.5125
"transmissibility","+0% (fitted)",1,0.8,"80%","pct_days_lost_averted",80.0753306895867,76.780914106187,82.3506866193283
"transmissibility","+10%",1.1,0.8,"80%","pct_days_lost_averted",80.062541523321,78.4199686043942,81.6253376743165
"transmissibility","+20%",1.2,0.8,"80%","pct_days_lost_averted",79.9846021736975,78.6280615586069,81.1905089450291
"transmissibility","+30%",1.3,0.8,"80%","pct_days_lost_averted",79.9572371199754,78.760240780492,81.3311800603225
"transmissibility","+0% (fitted)",1,0.8,"80%","pct_hcw_deaths_averted",80.2624561437076,76.2630225286387,83.5682869887856
"transmissibility","+10%",1.1,0.8,"80%","pct_hcw_deaths_averted",80.0182801166506,78.4919101666264,81.543012994518
"transmissibility","+20%",1.2,0.8,"80%","pct_hcw_deaths_averted",80.0143921065942,78.7584185453093,81.5131790344976
"transmissibility","+30%",1.3,0.8,"80%","pct_hcw_deaths_averted",80.0419799605095,78.3258647308767,81.3279180172665
"transmissibility","+0% (fitted)",1,0.8,"80%","pep_hcw_deaths",13.8,4.5,30.025
"transmissibility","+10%",1.1,0.8,"80%","pep_hcw_deaths",49.7,34.1675,64.64
"transmissibility","+20%",1.2,0.8,"80%","pep_hcw_deaths",58.8,46.29,72.03
"transmissibility","+30%",1.3,0.8,"80%","pep_hcw_deaths",62.65,49.5725,77.9125
